"STATION","NAME","DATE","DLY-DUTR-NORMAL","DLY-DUTR-STDDEV","DLY-TAVG-NORMAL","DLY-TAVG-STDDEV","DLY-TMAX-NORMAL","DLY-TMAX-STDDEV","DLY-TMIN-NORMAL","DLY-TMIN-STDDEV"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-28","-4.1","-12.3","15.5","-14.0","22.3","-12.4","8.7","-14.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-29","-4.1","-12.4","15.7","-14.0","22.5","-12.4","8.8","-14.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-30","-4.2","-12.4","15.8","-14.0","22.7","-12.4","9.0","-14.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","05-31","-4.2","-12.4","16.0","-14.0","22.8","-12.4","9.2","-14.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-01","-4.2","-12.5","16.2","-14.0","23.0","-12.4","9.4","-14.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-02","-4.2","-12.6","16.4","-14.0","23.2","-12.4","9.6","-14.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-03","-4.2","-12.6","16.6","-14.0","23.3","-12.5","9.8","-14.0"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-04","-4.2","-12.6","16.7","-14.0","23.5","-12.6","9.9","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-05","-4.3","-12.6","16.9","-14.0","23.7","-12.6","10.2","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-06","-4.3","-12.7","17.1","-14.0","23.8","-12.6","10.3","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-07","-4.3","-12.7","17.3","-14.0","24.0","-12.6","10.6","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-08","-4.3","-12.7","17.4","-14.0","24.2","-12.7","10.7","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-09","-4.3","-12.8","17.7","-14.0","24.4","-12.7","10.9","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-10","-4.3","-12.8","17.8","-14.1","24.6","-12.8","11.1","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-11","-4.3","-12.8","18.0","-14.1","24.7","-12.8","11.3","-13.9"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-12","-4.3","-12.9","18.2","-14.1","24.9","-12.9","11.4","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-13","-4.3","-12.9","18.3","-14.1","25.1","-12.9","11.6","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-14","-4.3","-12.9","18.6","-14.1","25.3","-13.0","11.8","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-15","-4.3","-12.9","18.7","-14.1","25.4","-13.0","12.0","-13.8"
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","06-16","-4.3","-13.0","18.9","-14.1","25.6","-13.1","12.2","-13.8"
